Time AvMSq AvMSqStd 
0 0.44444444444444453 0.0
1 0.3750786390972015 0.0030744939917118482
2 0.35905849605269985 0.004052953713922516
3 0.3531518823164551 0.0026397111210903117
4 0.3495931028185305 0.004114324875338111
5 0.34860277143597157 0.005275937878478206
6 0.3519385282084513 0.004615952782464922
7 0.3520956121485927 0.007165600729689973
8 0.35041877189571075 0.008950298443588732
9 0.3495849523977874 0.0043345779999764454
10 0.347500155146953 0.0038091510562728976
11 0.34952408713485816 0.0024105995242183482
12 0.3489690910577649 0.004346552009506341
13 0.35047891597204406 0.002782937726402694
14 0.3534758387934199 0.0039907347455667985
15 0.3508776745582718 0.006039637529124311
16 0.34894450294507806 0.005535114099003861
17 0.35033000358440136 0.004133459782638415
18 0.3508602049644438 0.0074315536893418115
19 0.35665544237094776 0.0029642226430330876
20 0.3519246828503401 0.011593631664336183
21 0.35476313553618677 0.004790349462639457
22 0.3583038764949796 0.0074579283094898625
23 0.3543210340159584 0.005493198094325568
24 0.35390285799476207 0.004707037782725151
25 0.353565474592882 0.004621864233065688
26 0.3572855708815807 0.0015789807332030178
27 0.3589368406577222 0.0031617683082605275
28 0.35914622985859307 0.005110266606231879
29 0.36065911627487995 0.0032699459926875903
30 0.35948973657426436 0.00455271041034682
31 0.3637156659145993 0.007718070272634224
32 0.36459796577399606 0.004443539068047885
33 0.36329987589248675 0.005013775176775902
34 0.3623593174878333 0.006875662851821878
35 0.3589587513972787 0.004193248084162797
36 0.35608259732038994 0.006808785686531534
37 0.3555093668876345 0.005838816306467174
38 0.35811812385321096 0.00667212497745406
39 0.35959082113905433 0.005263653787034732
40 0.3605473658214531 0.004667026805995998
41 0.3597606839812966 0.004285418211519999
42 0.3604125498919267 0.004722424368472466
43 0.36185598687887593 0.006744108364042755
44 0.3625813529980276 0.005381875141556032
45 0.3608687724938302 0.0033677602813306866
46 0.36034845358757445 0.005861372268739135
47 0.3614173055220659 0.005023861316597738
48 0.35723935557198017 0.003947157861740046
49 0.35778188351208107 0.0028887201005415746
50 0.3614647297755728 0.006468282474848956
51 0.36202015600683335 0.0041679743838263575
52 0.36465650544990713 0.005001567984560968
53 0.3647677692463816 0.004848392132074581
54 0.3643178313848113 0.0038876286040820714
55 0.3629721579426493 0.005289974339211056
56 0.36227583553132947 0.0028541288129394792
57 0.36600904396314865 0.0035669858607693733
58 0.3671652840787718 0.00404535007958791
59 0.3675123463145381 0.0028359133545243663
60 0.36779721541621035 0.007037186131813258
61 0.3640403676509872 0.005125031336667018
62 0.36359356827576644 0.009486800722123578
63 0.36271927413602933 0.00673706825857869
64 0.36363053644538396 0.006038958135164324
65 0.36514985953436657 0.0043400547605704776
66 0.3649558941215246 0.004350830440220805
67 0.36544257959496784 0.008183179179033676
68 0.3655389283722553 0.007906705236262917
69 0.3683217973568827 0.006018103733469837
70 0.3664027616408847 0.006272739827807812
71 0.3658878072713157 0.0038728872952446475
72 0.36226427300995834 0.007664881385447935
73 0.3626977344099792 0.0062729733199405405
74 0.3628769180371257 0.0066258398125377885
75 0.36431273329431846 0.005983049472031577
76 0.36219487960605495 0.005926608036039058
77 0.3640444946089761 0.0021572556443542647
78 0.36344808369117637 0.0018112851585949826
79 0.3618794880535814 0.002317952394606228
80 0.36225910932867694 0.004619815031868984
81 0.36163479635623097 0.0019097705810196184
82 0.3613426679949569 0.0017965560267857719
83 0.359775770413073 0.0016502749635200554
84 0.36213229109844247 0.0024119416880625704
85 0.359922993121139 0.0009422638784478533
86 0.36222034099909906 0.0018471915513557607
87 0.3635739477334652 0.003045302152319292
88 0.36307600012553876 0.003330398038453722
89 0.3765589207543152 0.00575998462344199
90 0.4222901521485518 0.0075845053009262475
91 0.4553014892567693 0.007322017301404705
92 0.48765419310890545 0.007277436330904678
93 0.5107895486521397 0.004257878753875914
94 0.5320755555597965 0.004332994440313323
95 0.5521835287423638 0.007462059942359615
96 0.5691100639076654 0.006533188720328839
97 0.5782079401694815 0.008396681747068818
98 0.5666348065685776 0.009663436859438483
99 0.5607426012203955 0.009333393711172878
100 0.5538021681991363 0.010517518865899314
101 0.5497623831113031 0.007605014775582956
102 0.5500611442664248 0.009442742387696722
103 0.5450695529984841 0.010140269305325168
104 0.5435647424432096 0.007716484810960836
105 0.5382280357100794 0.010750998289264055
106 0.5366578357846776 0.008936217641121276
107 0.5357777030065443 0.009231458528104385
108 0.5326731828322643 0.008840120489613799
109 0.532956887022477 0.009169788109570197
110 0.5313254628879445 0.00714417355369857
111 0.5301646735703207 0.007040749923018484
112 0.5332222080723614 0.005186630522777342
113 0.529513655822205 0.007290803214249048
114 0.5272866571080994 0.008759862483634154
115 0.5295575203283013 0.007446920343889044
116 0.5281494863734588 0.006969661436139184
117 0.5287020609183816 0.01029828859158746
118 0.5255217680466714 0.008229793374874653
119 0.5244316039560346 0.009691192858186677
120 0.5254136149443255 0.006004338829645022
121 0.5260794157115463 0.008321338290587055
122 0.523179616580155 0.007863708337809756
123 0.5221969078758331 0.007854987907140988
