Time stressX 
0 0.4078472603499189
24 -0.09443806577820331
48 -0.08120253616668277
72 -0.05536881231782808
96 -0.04443269898508947
120 -0.051178769901877724
144 -0.0590547312160303
168 -0.04784396899422253
192 -0.05455214594939658
216 -0.05404883872976386
240 -0.047174430249812764
264 -0.06266425007865009
288 -0.051729365735040556
312 -0.054188672966760935
336 -0.04303368484543953
360 -0.04251285204711319
384 -0.05208300430556359
408 -0.04826217106338411
432 -0.060625582883222694
456 -0.055699029173603136
480 -0.03963026395151789
504 -0.04647912424490127
528 -0.057203911956981726
552 -0.04138469943507566
576 -0.05451319469659454
600 -0.05340050564230691
624 -0.05662656630972896
648 -0.053748553353949374
672 -0.029133426289685675
696 -0.04196873492271402
720 -0.05354026360219622
744 -0.046199681676099315
768 -0.048638725286182835
792 -0.05182749756620313
816 -0.041640963509362125
840 -0.06550323013399789
864 -0.04565780160190703
888 -0.05084202238147676
912 -0.053074008321519456
936 -0.0401914543491961
960 -0.04790087255063516
984 -0.04619534476590206
1008 -0.05307817059571053
1032 -0.046226104974909046
1056 -0.05387158722838364
1080 -0.06355197872474196
1104 -0.043154555684732206
1128 -0.05189533893085881
1152 -0.05888900926641802
1176 -0.052933276634604544
1200 -0.051344905975231274
1224 -0.05342534528060897
1248 -0.03640155067859028
1272 -0.05661410484224612
1296 -0.0481364036741891
1320 -0.05852114737917688
1344 -0.059621144648135414
1368 -0.04752278274107898
1392 -0.04851975220377194
1416 -0.05225799228832858
1440 -0.051248108552166945
1464 -0.05413320265963058
1488 -0.040743387463446384
1512 -0.056751387986085096
1536 -0.042069328515884505
1560 -0.034336092867641575
1584 -0.04774531398957482
1608 -0.04764764560427462
1632 -0.052084611016433136
1656 -0.056388327037170734
1680 -0.04798979058534721
1704 -0.046554688073465314
1728 -0.0563201752090015
1752 -0.05129893738574652
1776 -0.04255556688042408
1800 -0.060499098190188956
1824 -0.046462503043998654
1848 -0.056005383457872746
1872 -0.03508903597614879
1896 -0.05414612167009553
1920 -0.046473169322563644
1944 -0.06012322895324416
1968 -0.05292981251502265
1992 -0.04889690548517959
2016 -0.046310612656626
2040 -0.048152772942624426
2064 -0.03445494368537914
2088 -0.04965964924282816
2112 -0.05469916172652734
2136 -0.04213702023000236
2160 -0.05342649252039576
2184 -0.05781852729051842
2208 -0.030810569719818964
2232 -0.03203167304267819
2256 -0.06660603201097362
2280 -0.041710766654503864
2304 -0.04337020130285544
2328 -0.053234461712198346
2352 -0.03333711370298841
2376 -0.03999803954392523
2400 -0.043840614207569094
2424 -0.047549944061518704
2448 -0.04439698172648938
2472 -0.04835851737854139
2496 -0.055983571579727776
2520 -0.05212954969983154
2544 -0.04739880844498281
2568 -0.05139798132420147
2592 -0.04426553357274067
2616 -0.054026191045972935
2640 -0.05535430458054244
2664 -0.06058701771148797
2688 -0.05019210147964328
2712 -0.04677215820543211
2736 -0.05065319250668702
2760 -0.0581013772680425
2784 -0.04952376203168279
2808 -0.0554660868545516
2832 -0.03477262957177316
2856 -0.060445846126098414
2880 -0.05357002329748517
2904 -0.04785575089020938
2928 -0.054930248369291286
2952 -0.050308935436421585
2976 -0.038215292657036014
3000 -0.04097729345414499
3024 -0.046778887246369125
3048 -0.05756412889699199
3072 -0.0401868879955715
3096 -0.04353321651313223
3120 -0.05185309185974792
3144 -0.06271728828476382
3168 -0.055782956188352543
3192 -0.04961215073891188
3216 -0.06790285290408274
3240 -0.057235871347413064
3264 -0.058010399617596645
3288 -0.04445526104532175
3312 -0.04782733197755666
3336 -0.057040423045487405
3360 -0.06694069586784676
3384 -0.038671225437599675
3408 -0.05629683540891377
3432 -0.04967311793922968
3456 -0.04229765336709308
3480 -0.057699529921928186
3504 -0.04098660273532034
3528 -0.04018544391262013
3552 -0.047699100166351295
3576 -0.049245272170744314
3600 -0.04588778676806193
3624 -0.058530801537191916
3648 -0.04214706387991636
3672 -0.03602033386810573
3696 -0.04589372826599424
3720 -0.04731242055158345
3744 -0.06911435390542352
3768 -0.04931552485972816
3792 -0.05339280444387923
3816 -0.050338631403796935
3840 -0.05124402778463918
3864 -0.05644222852085247
3888 -0.044827220920604
3912 -0.04175639027757367
3936 -0.046635557975933994
3960 -0.0601025132181253
3984 -0.05117454622092447
4008 -0.05143540594915645
4032 -0.05019111590329331
4056 -0.05149138400881448
4080 -0.04099655568390993
4104 -0.045193247258057026
4128 -0.0430391034614875
4152 -0.0476618622360097
4176 -0.05049750391934981
4200 -0.05649272862150488
4224 -0.03860400669614009
4248 -0.05149386994628675
4272 -0.03980639784470773
4296 -0.048450465326236626
4320 -0.040827539259794904
4344 -0.05385919991152165
4368 -0.05208449347685521
4392 -0.05641582529874873
4416 -0.049670860721922214
4440 -0.059146447921482256
4464 -0.0452232037041554
4488 -0.04525525129931527
4512 -0.048456225382267744
4536 -0.0461500392403264
4560 -0.051732945052066805
4584 -0.05680133134081944
4608 -0.046594228714048974
4632 -0.04343621355953736
4656 -0.0640318676319037
4680 -0.039824990207461095
4704 -0.04740464056712694
4728 -0.04211598183238169
4752 -0.038957592112930456
4776 -0.06864072153066544
4800 -0.05190096410499473
4824 -0.04601091790151464
4848 -0.05804546566135747
4872 -0.037402728279729014
4896 -0.05124819508062371
4920 -0.05150070114887068
4944 -0.041932348868907524
4968 -0.06372297283190902
4992 -0.05468016685324594
5016 -0.05061358851164036
5040 -0.05193224362389068
5064 -0.051377950385017176
5088 -0.05826239435696693
5112 -0.0527324590903008
5136 -0.05757215875041855
5160 -0.05817611031393472
5184 -0.044071055272692276
5208 -0.05501450195733319
5232 -0.04342128685665451
5256 -0.056009477168676554
5280 -0.05734265852504131
5304 -0.05681830372992676
5328 -0.038372177355056124
5352 -0.04663302009506855
5376 -0.0571758883720845
5400 -0.048259227470904775
5424 -0.04827709889156274
5448 -0.05221648105058576
5472 -0.05578466971182376
5496 -0.04871886603799933
5520 -0.0330184480331502
5544 -0.0409544634858136
5568 -0.058108902022938634
5592 -0.04457664840434151
5616 -0.05001558939234178
5640 -0.04767156105326928
5664 -0.05478015900278936
5688 -0.052308146863577744
5712 -0.054656089125021304
5736 -0.06058777083725149
5760 -0.05421206431404579
5784 -0.03419041725687435
5808 -0.04033611916005388
5832 -0.04507142301345704
5856 -0.04955997109696572
5880 -0.05153054157562258
5904 -0.043573958874869374
5928 -0.04612028055882938
5952 -0.042750134758526646
5976 -0.05831113789368567
6000 -0.0523569381987934
6024 -0.04566635479600709
6048 -0.0419087861316128
6072 -0.06495509254656504
6096 -0.050869186144821374
6120 -0.05041339115712397
6144 -0.05054973886735794
6168 -0.06684561959134012
6192 -0.0366084636126473
6216 -0.052661040518516056
6240 -0.04208532194892438
6264 -0.04490259015442972
6288 -0.047065407889297715
6312 -0.04539910339535834
6336 -0.053064737107944154
6360 -0.044090457383769446
6384 -0.051331118332086
6408 -0.04883596379970872
6432 -0.0467934599094711
6456 -0.053869710269138886
6480 -0.04494585787061868
6504 -0.04242143847482272
6528 -0.03690067684346904
6552 -0.046278161553562916
6576 -0.05653911827266564
6600 -0.05165322711990229
6624 -0.04474219572663212
6648 -0.05105468135682011
6672 -0.035170393107471144
6696 -0.04560895292518003
6720 -0.050408228968507246
6744 -0.043672865584650104
6768 -0.05171791149861646
6792 -0.04699136521929234
6816 -0.05460488332490685
6840 -0.05014894197130652
6864 -0.04476973330772675
6888 -0.05791926854674134
6912 -0.05602912048822782
6936 -0.04572515354941418
6960 -0.05263348775898257
6984 -0.0577764940570547
7008 -0.04559982199969413
7032 -0.06164655772785769
7056 -0.04867886747447819
7080 -0.03946349765621204
7104 -0.0595229181784727
7128 -0.053255906935632966
7152 -0.04798787369919032
7176 -0.05379241131939116
7200 -0.04878009227667668
7224 -0.05148072007530488
7248 -0.058368226913871446
7272 -0.05342747135572329
7296 -0.05320774972994208
7320 -0.03951674340134354
7344 -0.05553433360475128
7368 -0.04037316208951124
7392 -0.04194027374371241
7416 -0.05354103053940659
7440 -0.045157091326555994
7464 -0.06086376192258723
7488 -0.05095438751636513
7512 -0.04377830172016539
7536 -0.04580204808681394
7560 -0.04714959968611178
7584 -0.04030329679923183
7608 -0.042179532537369654
7632 -0.061962124975586445
7656 -0.05576034351174679
7680 -0.046597772365361584
7704 -0.05720516648623568
7728 -0.053483187406045796
7752 -0.04511692475847925
7776 -0.03941329109540936
7800 -0.053764462275592485
7824 -0.051659634471578786
7848 -0.06103921732373259
7872 -0.05878580729442819
7896 -0.05737836319895354
7920 -0.04070506916308632
7944 -0.05647828585234614
7968 -0.05479952809500115
7992 -0.04726856083680156
8016 -0.05469636619042577
8040 -0.05802212623686746
8064 -0.047309680588116354
8088 -0.0399104545290806
8112 -0.05025768818413399
8136 -0.04763405092282797
8160 -0.053402656450866816
8184 -0.040902442205863206
8208 -0.04765784647275594
8232 -0.056980009968655855
8256 -0.04985897721163469
8280 -0.04713618473086981
8304 -0.049808897218686594
8328 -0.04979001365600285
8352 -0.04232524602628633
8376 -0.042866958647622
8400 -0.05638478990181778
8424 -0.04802499242729193
8448 -0.04567945124910426
8472 -0.056348845949552404
8496 -0.05767060505964838
8520 -0.041718975549681736
8544 -0.047176674048933755
8568 -0.050278094391451804
8592 -0.048748841887160124
8616 -0.05480100541866555
8640 -0.07910112185957646
8664 -0.047254323599218294
8688 -0.049431405230014186
8712 -0.04704684878079877
8736 -0.047173112409321726
8760 -0.04552935571989322
8784 -0.0450896088463697
8808 -0.052967298796358475
8832 -0.04844251550974392
8856 -0.059239642742394835
8880 -0.046119984002199736
8904 -0.038659218404692386
8928 -0.04469092189088509
8952 -0.05881135864994174
8976 -0.04559867042262481
9000 -0.05744153696163655
9024 -0.0422098882337526
9048 -0.058522712547620585
9072 -0.05419174626035063
9096 -0.06200577696570792
9120 -0.04573896434977945
9144 -0.05062008793055691
9168 -0.04493967406874075
9192 -0.044790485422161276
9216 -0.053808659486531116
9240 -0.048387327312792654
9264 -0.041469783145187074
9288 -0.04137008079982519
9312 -0.04609328222945097
9336 -0.05076192761467273
9360 -0.04742996367655139
9384 -0.059975980125823336
9408 -0.054178349716857754
9432 -0.032743916534334866
9456 -0.05138477017971657
9480 -0.05019898633130029
9504 -0.05095004606254308
9528 -0.03949909314933887
9552 -0.06157782389295083
9576 -0.059191348709445264
9600 -0.05407725619119559
9624 -0.03322803604300356
9648 -0.04420717356316772
9672 -0.04426963737932591
9696 -0.053540185427341146
9720 -0.052143135229244665
9744 -0.05749216685814663
9768 -0.051916104912497346
9792 -0.056161789923637795
9816 -0.04271487238800317
9840 -0.05500555146846195
9864 -0.049849033701979815
9888 -0.049751697922965646
9912 -0.05622653145667585
9936 -0.04813691296426862
9960 -0.048372233434576424
9984 -0.058347726883473006
10008 -0.06741182079629915
10032 -0.047340002329121764
10056 -0.03743077893169385
10080 -0.06607587081168316
10104 -0.044890736240850625
10128 -0.046889140476773464
10152 -0.045725943115674024
10176 -0.03629264741681967
10200 -0.0537067090511726
10224 -0.047117532261945816
10248 -0.060656249589186605
10272 -0.051321104647925976
10296 -0.056099904523750944
10320 -0.059791976926214394
10344 -0.03716052710036252
10368 -0.05116884311855059
10392 -0.048415789240171606
10416 -0.048355263411796585
10440 -0.05036327917921876
10464 -0.04856681514961769
10488 -0.04157247005592936
10512 -0.06978720998940798
10536 -0.053986182775516145
10560 -0.05233743960917946
10584 -0.0542117283479746
10608 -0.045104967276969755
10632 -0.05136285293710751
10656 -0.05314631843034792
10680 -0.050741597863119804
10704 -0.06125565519193221
10728 -0.059168717989138725
10752 -0.055496881262042
10776 -0.053282313389720996
10800 -0.0536558528535765
10824 -0.05891691130304666
10848 -0.05262549426455958
10872 -0.033224304129433974
10896 -0.05161619278408109
10920 -0.053792843277679935
10944 -0.06657035853086275
10968 -0.05937150365431604
10992 -0.04761922437404388
11016 -0.055481724705133774
11040 -0.04618337485514177
11064 -0.03351866605458233
11088 -0.0619201176163664
11112 -0.06104186910061612
11136 -0.04937084337089598
11160 -0.05583402661771492
11184 -0.04785559015482304
11208 -0.05599116831568552
11232 -0.05489367984404159
11256 -0.054383331936334114
11280 -0.050669153003445995
11304 -0.041655848811061366
11328 -0.04544334435731037
11352 -0.046941973280262485
11376 -0.044498314546551766
11400 -0.027273866422988437
11424 -0.05518947892389048
11448 -0.06021781785702825
11472 -0.052714104061490887
11496 -0.040275123658978076
11520 -0.05399877929511302
11544 -0.049861707214381906
11568 -0.050896596391461844
11592 -0.05388914903269824
11616 -0.05797995476552056
11640 -0.053171975972755844
11664 -0.04338385669709135
11688 -0.04965180600254992
11712 -0.0651173932690351
11736 -0.04165581925464349
11760 -0.03894054331436233
11784 -0.05882158891330139
11808 -0.045911396373752314
11832 -0.04353973302372555
11856 -0.056251775694280935
11880 -0.03719802192094085
11904 -0.052620165768471894
11928 -0.05276375402337736
11952 -0.05153878857527339
11976 -0.05334663533911999
12000 -0.04048429829512648
12024 -0.04073511408861037
12048 -0.04668251668186628
12072 -0.048982438034210055
12096 -0.050272377041062896
12120 -0.06630736825709142
12144 -0.05169594774021931
12168 -0.050187308435022525
12192 -0.03549231376858571
12216 -0.04396420877798851
12240 -0.04141353324380976
12264 -0.04681377990507268
12288 -0.06245519565144711
