Time stressX 
0 -0.19931793231210315
24 -0.05509958115701622
48 -0.08681065528599571
72 -0.08094941414685981
96 -0.062455474022062744
120 -0.07146471310543771
144 -0.0731729048990955
168 -0.0963256661048745
192 -0.09380127641135232
216 -0.0765905678060355
240 -0.0764244372676434
264 -0.073441329173086
288 -0.08223399014526966
312 -0.08908608446339822
336 -0.08747827821401684
360 -0.10039512739708999
384 -0.06433911161651974
408 -0.08561705244378084
432 -0.10054646386118611
456 -0.08603486683837526
480 -0.076187034064779
504 -0.061623428575060604
528 -0.08337782066213467
552 -0.09131458990061647
576 -0.08128624962660454
600 -0.06409160078073431
624 -0.11711619578142027
648 -0.08060121604582705
672 -0.09844057968853566
696 -0.08896734358648117
720 -0.10100787965723998
744 -0.0832032962780303
768 -0.07792735600854361
792 -0.08961791747677839
816 -0.1100837190409492
840 -0.07210504505298133
864 -0.11213115341180992
888 -0.08561331859113315
912 -0.1046203899136786
936 -0.09368010890098837
960 -0.08687706042034467
984 -0.08098987644021641
1008 -0.08152504502035812
1032 -0.10336055551273983
1056 -0.07957449095982339
1080 -0.10362423332012183
1104 -0.09043160305765074
1128 -0.10215669653876676
1152 -0.0778541294475277
1176 -0.09817118051098866
1200 -0.06613401699530516
1224 -0.08223115053104897
1248 -0.08316236197199817
1272 -0.07761434112952893
1296 -0.08990445293006856
1320 -0.08440455117181972
1344 -0.0910272605625378
1368 -0.09102710690441719
1392 -0.0900122239998136
1416 -0.08805170837916683
1440 -0.07412107771996879
1464 -0.07707215180259994
1488 -0.08749387270750689
1512 -0.10329786124143985
1536 -0.09198263268079614
1560 -0.09346206867933701
1584 -0.08327089510968472
1608 -0.10113815453898899
1632 -0.11075821971168841
1656 -0.10178372517987604
1680 -0.08964748850351453
1704 -0.08419394609693726
1728 -0.09965647358144444
1752 -0.10388602875994275
1776 -0.09270774519599112
1800 -0.09269259329632171
1824 -0.08629074060093357
1848 -0.10095176201157086
1872 -0.1039057352588592
1896 -0.09245231996055249
1920 -0.10661259336763453
1944 -0.10630812231174717
1968 -0.11288047125306672
1992 -0.09672052166813437
2016 -0.10846828657515059
2040 -0.09894305077805877
2064 -0.10481512899734803
2088 -0.09649364373080227
2112 -0.10026497589102969
2136 -0.11347491328514173
2160 -0.08682909252425712
2184 -0.09391189909981817
2208 -0.10356154698994276
2232 -0.07100681155189868
2256 -0.11552175548539455
2280 -0.10146044534991276
2304 -0.09775709530892501
2328 -0.11896078458281818
2352 -0.09936764755890083
2376 -0.09007250303081023
2400 -0.09690647879666667
2424 -0.10298877891959657
2448 -0.10905373223338291
2472 -0.0841495179544622
2496 -0.09409356335597306
