Time Break7sav Break7sstd
28750.0 10.777310924369747 2.171161993332125
53750.0 9.65925925925926 1.4177398501061034
78750.0 10.108359133126934 0.4679943175799067
103750.0 9.997086247086248 0.8869781658109583
128750.0 8.976034858387798 0.8539915957524895
153750.0 8.376068376068377 0.6830926223566571
178750.0 9.613003095975232 1.6969126576269709
203750.0 9.136427939876215 1.1664714989890868
228750.0 9.651610644257703 0.4557809570252185
253750.0 7.958974358974359 0.41668047314403844
278750.0 9.416666666666668 1.0069204977995472
303750.0 8.975757575757576 0.9412884122917824
328750.0 7.705882352941176 0.9982683969692436
353750.0 8.772932330827068 0.1546656321869467
378750.0 8.474945533769063 0.49297204788604604
403750.0 8.534798534798535 0.5855079620199921
428750.0 7.965686274509803 0.7979343495922026
453750.0 9.146394544663153 0.3601701283043348
478750.0 8.981481481481483 1.2491423669659298
503750.0 8.46969696969697 1.0623103190488923
538750.0 6.404983045849919 0.06536040084818222
563750.0 8.224358974358973 0.9257883965362056
588750.0 7.429563492063492 0.28172157841568324
613750.0 7.328042328042329 1.1374123188733158
638750.0 8.26923076923077 0.7195494974565274
663750.0 8.357905982905983 0.9460878786289807
688750.0 7.222222222222222 0.39283710065919325
713750.0 6.4786967418546375 0.5875041689088244
738750.0 7.529989503673714 0.5085114215702233
763750.0 8.625942684766216 0.698557475473498
788750.0 8.667277167277167 0.7963085956641587
813750.0 7.3076923076923075 0.3987461732065428
838750.0 8.383838383838384 0.18897259529161303
863750.0 7.647435897435897 0.24024924963560498
888750.0 9.533799533799533 1.3539893455904521
913750.0 7.666666666666666 2.3333333333333335
938750.0 8.076923076923077 0.0
963750.0 10.0 0.0
988750.0 nan nan
1013750.0 nan nan
