Time MakeNC1av MakeNC1avstd
16250.0 118.91891891891893 0.8826990064083506
41250.0 23.799999999999997 0.6531972647421814
66250.0 16.532896532896533 1.8225339560778344
91250.0 13.46430139908401 1.3640156217820323
116250.0 12.954545454545453 1.157943249086628
141250.0 10.138339920948617 0.45526093657894595
166250.0 11.889309881349648 1.2337789060193607
191250.0 12.063492063492063 1.4942992368065666
216250.0 11.045637829912023 0.17340653494524355
241250.0 10.911835748792269 0.250294465894477
266250.0 11.154233870967742 0.2540575917560695
291250.0 11.818181818181817 0.5567022142689045
316250.0 11.959325396825395 0.822751455664428
341250.0 11.795454545454545 0.6910984588969992
366250.0 12.132616487455197 0.6728573322066468
391250.0 11.757936507936508 0.7700662410605098
416250.0 12.733086917562726 0.7679386764633289
441250.0 10.518115942028984 0.5652406163938857
466250.0 12.039704444827786 0.49036673902762806
491250.0 10.562143170838825 0.8612801385704365
526250.0 8.37522349936143 1.069775956912577
551250.0 9.361904761904762 0.3310123275615763
576250.0 9.42545109211776 0.41763786186697127
601250.0 10.192687559354228 0.27250135973931733
626250.0 9.394139194139195 0.8600169403279889
651250.0 9.076617826617827 0.9627465906725895
676250.0 8.557288815909505 0.5514038702547719
701250.0 10.005128205128207 0.5620943273802985
726250.0 9.043239369326326 0.9627956534100199
751250.0 8.92094017094017 0.34429237274192365
776250.0 10.302028218694888 0.48276899841635074
801250.0 9.377777777777778 0.7430334887689104
826250.0 8.951282051282051 0.7643520501324954
851250.0 8.753205128205128 0.6329783340167723
876250.0 10.64102564102564 0.8778580323501335
901250.0 9.80805152979066 0.9426045009685808
926250.0 9.038461538461538 0.0
951250.0 9.230769230769232 0.0
976250.0 nan nan
1001250.0 nan nan
