Time BreakNC1av BreakNC1std
28750.0 10.170634920634923 0.5864698099599481
53750.0 10.794504181600956 0.4477498136545644
78750.0 10.86231884057971 0.6326381619048447
103750.0 9.555759803921568 0.9776213142192447
128750.0 11.366161616161616 0.4850983152639176
153750.0 11.154813218390805 1.3025898242023861
178750.0 10.8406432748538 0.8942212949215845
203750.0 10.603553921568627 0.43863733504733077
228750.0 10.674603174603174 1.8756035393803925
253750.0 10.502358140225788 0.17806390552052626
278750.0 10.390614216701174 1.3503508460353393
303750.0 12.438271604938274 0.606385268653966
328750.0 11.627886002886003 0.3101640258965907
353750.0 10.918243152588502 0.11636523199021405
378750.0 10.730549199084667 0.05771514551552188
403750.0 11.375446273075582 0.4638458816694909
428750.0 10.998217468805704 0.7528952613883382
453750.0 10.946310394586256 0.2717259807826188
478750.0 11.21376811594203 1.3977526445571542
503750.0 10.673963133640552 0.4862197036942242
538750.0 10.793807641633729 0.8045660348489346
563750.0 10.677053140096618 1.118094469337325
588750.0 10.317460317460316 0.8093681767607595
613750.0 10.423931623931624 1.0066191918420593
638750.0 11.591478696741856 1.0019317484937216
663750.0 11.366459627329192 0.9692227661072814
688750.0 9.524624261943103 0.7142227397970967
713750.0 10.56073153899241 0.6513563803211107
738750.0 10.229741019214702 0.8521508015951985
763750.0 11.521031746031747 0.2911135560991988
788750.0 11.413292847503376 0.7417034312219348
813750.0 10.580672626649639 1.7131543413095662
838750.0 9.329106280193237 0.4634763134426179
863750.0 11.913580246913583 1.1879208236450376
888750.0 10.56166056166056 0.8409742857913618
913750.0 11.166666666666668 1.166666666666667
938750.0 9.6 0.0
963750.0 9.166666666666666 0.0
988750.0 nan nan
1013750.0 nan nan
