Time Make7sav Make7sstd
16250.0 36.74680487323508 0.8061701810388768
41250.0 14.996075821738255 0.9482636863011257
66250.0 11.852308766889033 0.17231564009401884
91250.0 8.990575396825397 0.9498263212134581
116250.0 9.636191119473795 0.43451855146694296
141250.0 9.218018305661984 0.48199683816079153
166250.0 8.763949888400893 0.651660037596252
191250.0 7.8809523809523805 0.8046069166055143
216250.0 8.431538155802862 0.5594322150919535
241250.0 8.813131313131311 0.6995336932711894
266250.0 8.002380952380953 0.4321412173653791
291250.0 7.901785714285715 0.6591438866175625
316250.0 8.691425120772948 1.0400679112471782
341250.0 8.090686274509803 0.34905609525072073
366250.0 8.586713286713286 0.3604952192521508
391250.0 9.331140350877194 1.4111122168415755
416250.0 8.662240537240539 0.6786458146664975
441250.0 8.437908496732026 1.1045945003528437
466250.0 8.939820565907523 0.4147848131317987
491250.0 9.0625 0.6750771560841522
526250.0 8.195954106280194 1.5452463757279582
551250.0 6.369949494949494 0.5303781813032378
576250.0 6.011396011396012 0.6446557549279064
601250.0 5.7165641376167695 0.15627559301684912
626250.0 6.770202020202021 0.6776057678132758
651250.0 7.256944444444443 1.3827991494263803
676250.0 6.553030303030303 0.4860701150232363
701250.0 5.732323232323232 0.5612654235073956
726250.0 6.835526315789474 0.6666738803857181
751250.0 5.894607843137255 0.8618603417900611
776250.0 5.758928571428571 0.13142501289178346
801250.0 6.046918767507003 0.23711488730163904
826250.0 5.808080808080809 0.09448629764580652
851250.0 5.559752747252747 0.26734300709014863
876250.0 6.9907407407407405 1.779850258031582
901250.0 5.620039682539683 0.22282814925809732
926250.0 6.0 0.0
951250.0 5.625 0.0
976250.0 nan nan
1001250.0 nan nan
