MakeProb MakeDist NLC DeltaPhi
0.01 0.5 10.847999999999999 0.09913607288179294
0.01 0.7 11.007999999999996 0.10958523915959362
0.01 0.9 2.784000000000006 0.09688847301527237
0.01 1.1 2.784000000000006 0.08913780156388074
0.05 0.5 11.744 0.10438367409643223
0.05 0.7 7.647999999999996 0.10879822986404919
0.05 0.9 2.432000000000002 0.10006401401998122
0.05 1.1 2.1440000000000055 0.09048008018890596
0.5 0.5 9.888000000000005 0.10711339179495694
0.5 0.7 5.695999999999998 0.10271945392133619
0.5 0.9 1.5040000000000049 0.10059294911721184
0.5 1.1 2.1440000000000055 0.095461129650809
1.0 0.5 8.159999999999997 0.10726154505628482
1.0 0.7 4.384 0.10992902938196658
1.0 0.9 1.343999999999994 0.10397247812535992
1.0 1.1 1.024000000000001 0.10209781890533731
