Ebond Strain Seed PhiINf DeltaPhi tau
6.0 100 2 0.44342751236270833 0.07684300821674056 112363200.0
6.0 100 3 0.44555166957818537 0.07472707788153632 133171200.0
6.0 100 4 0.4442721362662798 0.07525918294054779 120686400.0
6.0 150 0 0.47405313812038524 0.10034056234994931 129009600.0
6.0 150 1 0.4801619000900965 0.09215643009644192 137332800.0
6.0 150 2 0.4850334117262335 0.08704591604550704 104040000.0
6.0 150 3 0.48722385570264926 0.08251002129265794 129009600.0
6.0 150 4 0.48922097236732814 0.08156144228792034 133171200.0
6.0 200 0 0.5109796482960085 0.11039337272334604 183110400.0
6.0 200 1 0.5181359041874553 0.09452682889478614 216403200.0
6.0 200 2 0.5195826085544311 0.0906260653878933 220564800.0
6.0 200 3 0.5166049312473826 0.09478023594003382 187272000.0
6.0 200 4 0.5136553920332418 0.09655313615412642 178948800.0
7.0 100 0 0.44551297502279896 0.08967622087922855 153979200.0
7.0 100 1 0.44046303878207455 0.08357421109972679 162302400.0
7.0 100 2 0.44208225059069417 0.07723770314636624 158140800.0
7.0 100 3 0.44507072436721673 0.0726194308727508 99878400.0
7.0 100 4 0.4448818983420571 0.07226214575633966 153979200.0
7.0 150 0 0.4830439499986593 0.08679223435197936 141494400.0
7.0 150 1 0.49173475974741176 0.08378930516524985 137332800.0
7.0 150 2 0.4908273854392043 0.08073258062260663 141494400.0
7.0 150 3 0.48806119978699813 0.08142532600878327 120686400.0
7.0 150 4 0.48906091112674765 0.08004915278091773 149817600.0
7.0 200 0 0.5390046817716008 0.07797460207353879 378705600.0
7.0 200 1 0.5311470116507049 0.07937785497201166 220564800.0
7.0 200 2 0.5325702081097047 0.08211343146405259 187272000.0
7.0 200 3 0.5283329622106527 0.08608787252465855 183110400.0
7.0 200 4 0.5288819640874113 0.08618001843536016 187272000.0
100.0 100 0 0.5046636099577343 0.037547214932579176 66585600.0
100.0 100 1 0.5088288740567698 0.03797546557241327 54100800.0
100.0 100 2 0.5130065942560924 0.03582011183934031 91555200.0
100.0 100 3 0.5130065942560924 0.03582011183934031 91555200.0
100.0 100 4 0.5130065942560924 0.03582011183934031 91555200.0
100.0 150 0 0.5770665542793688 0.03303190486569019 79070400.0
100.0 150 1 0.5648443817546236 0.039559102689307846 116524800.0
100.0 150 2 0.570906957347961 0.036698568584656366 79070400.0
100.0 150 3 0.570906957347961 0.036698568584656366 79070400.0
100.0 150 4 0.570906957347961 0.036698568584656366 79070400.0
100.0 200 0 0.6036757989245347 0.03743032682147629 95716800.0
100.0 200 1 0.6081927180530935 0.03710390664095131 70747200.0
100.0 200 2 0.6053413714693797 0.03790306736661431 87393600.0
100.0 200 3 0.6053413714693797 0.03790306736661431 87393600.0
100.0 200 4 0.6053413714693797 0.03790306736661431 87393600.0
