BreakProb BreakDist Tau DeltaPhi PhiInf NLC
0.01 1.2 132480.0 0.2256582012826388 0.3712671114723808 40.832
0.01 1.4 154560.0 0.1959781908181804 0.40317961637192773 2.784000000000006
0.01 1.6 99360.0 0.14796792164419897 0.4378566210878992 0.9599999999999937
0.01 1.8 66240.0 0.13539440894849036 0.47508776409245684 0.7039999999999935
0.003 1.2 165600.0 0.22587770551721542 0.3963650830560087 2.784000000000006
0.003 1.4 187680.0 0.1664858102903184 0.4422286346392529 1.4080000000000013
0.003 1.6 121440.0 0.1322907300937487 0.4894827711980665 0.6400000000000006
0.003 1.8 176640.0 0.11173218239894478 0.4976682722401534 0.7680000000000007
0.001 1.2 574080.0 0.16068855677568905 0.46513157293463336 0.6400000000000006
0.001 1.4 485760.0 0.21418121416741387 0.39668613854462575 1.2800000000000011
0.001 1.6 331200.0 0.09040385739307755 0.5286027819245984 1.024000000000001
0.001 1.8 132480.0 0.046501257885364966 0.5530887219268319 0.9599999999999937
0.0003 1.2 916320.0 0.16711357983368885 0.46504800969342136 1.4080000000000013
0.0003 1.4 1070880.0 0.2417747473534827 0.3627135247657638 1.3760000000000048
0.0003 1.6 0.0 nan nan 1.632000000000005
0.0003 1.8 220800.0 0.0728358545238299 0.5402918220799012 1.024000000000001
