Time RateMons NumMons LargestComp 
0.0 0.0 45.0 6194.0
2040.0 0.0 45.0 6194.0
4080.0 0.0 45.0 6194.0
6120.0 -0.0004901960784313725 45.0 6194.0
8160.0 -0.000980392156862745 44.0 6196.0
10200.0 0.0 42.0 6200.0
12240.0 0.0 42.0 6200.0
14280.0 0.0004901960784313725 42.0 6188.0
16320.0 0.0004901960784313725 43.0 6186.0
18360.0 0.0004901960784313725 44.0 6184.0
20400.0 -0.000980392156862745 45.0 6182.0
22440.0 -0.0004901960784313725 43.0 6186.0
24480.0 0.0 42.0 6188.0
26520.0 -0.0004901960784313725 42.0 6200.0
28560.0 0.0 41.0 6202.0
30600.0 0.0 41.0 6202.0
32640.0 0.0004901960784313725 41.0 6194.0
34680.0 0.0 42.0 6192.0
36720.0 0.0 42.0 6186.0
38760.0 0.0 42.0 6186.0
40800.0 -0.0014705882352941176 42.0 6186.0
42840.0 -0.0004901960784313725 39.0 6192.0
44880.0 0.0 38.0 6194.0
46920.0 -0.000980392156862745 38.0 6194.0
48960.0 0.0 36.0 6194.0
51000.0 0.0 36.0 6194.0
53040.0 0.0004901960784313725 36.0 6194.0
55080.0 0.0 37.0 6192.0
57120.0 0.0 37.0 6192.0
59160.0 0.0 37.0 6192.0
61200.0 -0.0004901960784313725 37.0 6192.0
63240.0 -0.0004901960784313725 36.0 6200.0
65280.0 0.0 35.0 6202.0
67320.0 -0.0004901960784313725 35.0 6202.0
69360.0 0.0 34.0 6204.0
71400.0 0.0 34.0 6204.0
73440.0 0.0 34.0 6204.0
75480.0 0.0 34.0 6204.0
77520.0 0.0 34.0 6192.0
79560.0 -0.0004901960784313725 34.0 6174.0
81600.0 -0.000980392156862745 33.0 6176.0
83640.0 -0.0004901960784313725 31.0 6184.0
85680.0 0.0 30.0 6184.0
87720.0 0.0 30.0 6202.0
89760.0 0.0004901960784313725 30.0 6202.0
91800.0 0.000980392156862745 31.0 6184.0
93840.0 0.0 33.0 6184.0
95880.0 0.0004901960784313725 33.0 6180.0
97920.0 0.0 34.0 6178.0
99960.0 -0.0004901960784313725 34.0 6166.0
102000.0 0.0 33.0 6168.0
104040.0 -0.0004901960784313725 33.0 6168.0
106080.0 0.0 32.0 6170.0
108120.0 0.0 32.0 6170.0
110160.0 0.0 32.0 6174.0
112200.0 0.0004901960784313725 32.0 6174.0
114240.0 0.0 33.0 6172.0
116280.0 0.0004901960784313725 33.0 6172.0
118320.0 0.0 34.0 6166.0
120360.0 -0.0004901960784313725 34.0 6156.0
122400.0 0.0 33.0 6158.0
124440.0 -0.0004901960784313725 33.0 6178.0
126480.0 -0.0004901960784313725 32.0 6180.0
128520.0 -0.000980392156862745 31.0 6182.0
130560.0 0.0004901960784313725 29.0 6182.0
132600.0 0.0 30.0 6180.0
134640.0 0.0 30.0 6180.0
136680.0 0.0 30.0 6180.0
138720.0 0.0 30.0 6180.0
140760.0 0.0 30.0 6176.0
142800.0 0.0 30.0 6184.0
144840.0 0.0 30.0 6184.0
146880.0 0.0 30.0 6198.0
148920.0 0.0 30.0 6198.0
150960.0 0.0004901960784313725 30.0 6198.0
153000.0 0.0 31.0 6196.0
155040.0 0.0 31.0 6182.0
157080.0 0.0 31.0 6178.0
159120.0 0.0 31.0 6170.0
161160.0 -0.000980392156862745 31.0 6164.0
163200.0 -0.0004901960784313725 29.0 6172.0
165240.0 0.0 28.0 6174.0
167280.0 0.0 28.0 6178.0
169320.0 -0.0004901960784313725 28.0 6178.0
171360.0 0.0 27.0 6180.0
173400.0 0.0 27.0 6174.0
175440.0 0.0 27.0 6174.0
177480.0 0.0 27.0 6170.0
179520.0 0.0 27.0 6164.0
181560.0 0.0 27.0 6172.0
183600.0 -0.0004901960784313725 27.0 6172.0
185640.0 0.0 26.0 6174.0
187680.0 0.0 26.0 6174.0
189720.0 0.0 26.0 6174.0
191760.0 0.0004901960784313725 26.0 6174.0
193800.0 0.0004901960784313725 27.0 6172.0
195840.0 0.0 28.0 6170.0
197880.0 0.0 28.0 6170.0
199920.0 0.0 28.0 6170.0
201960.0 0.0 28.0 6170.0
204000.0 0.0 28.0 6170.0
206040.0 -0.0004901960784313725 28.0 6170.0
208080.0 0.0 27.0 6178.0
210120.0 0.000980392156862745 27.0 6178.0
212160.0 0.0 29.0 6178.0
214200.0 0.0004901960784313725 29.0 6178.0
216240.0 0.0004901960784313725 30.0 6158.0
