Time Avstress
0 -0.09993374685811456
110 -0.040087451166881755
220 -0.02137594458829877
330 -0.0520344889383933
440 -0.043167131347365446
550 -0.05701914313250965
660 -0.040946781505910974
770 -0.07696210103745933
880 -0.016977357432095226
990 -0.03081977200540702
1100 -0.04679606629103427
1210 -0.0257761813726376
1320 -0.07423345265686487
1430 -0.06331369813760289
1540 -0.050272302673697436
1650 -0.03345046353438191
1760 -0.0386034085875045
1870 -0.07243718863819429
1980 -0.034167521921975474
2090 -0.05347637451437243
2200 -0.05180008680407456
2310 -0.02513925117866705
2420 -0.048175049803808025
2530 -0.03134942390438047
2640 -0.0417146637227707
2750 -0.040648224660674186
2860 -0.023325788860702162
2970 -0.06850167601835987
3080 -0.10383398161065313
3190 -0.04898109970342303
3300 -0.05476820084733459
3410 -0.07954356056997154
3520 -0.047611386594059925
3630 -0.04739913476598653
3740 -0.0525975950991919
3850 -0.017521182575763246
3960 -0.056545727341734985
4070 -0.03709822898940007
4180 -0.020567255168571566
4290 -0.026159061511897022
4400 -0.05635200591563255
4510 -0.03536577568750128
4620 -0.056137367394684286
4730 -0.025604376461659112
4840 -0.03777674917193608
4950 -0.062329580774645704
5060 -0.02796986454378681
5170 -0.04019550732936809
5280 -0.05949196944189043
5390 -0.04589678289772232
5500 -0.046183241560695566
5610 -0.07223933084389644
5720 -0.053218553432886125
5830 -0.05305789964724955
5940 -0.06425370213490612
6050 -0.060683800551473606
6160 -0.060833811384059286
6270 -0.028885842505278904
6380 -0.04189987967283549
6490 -0.044564976673083685
6600 -0.028178079700027166
6710 -0.05053954397475486
6820 -0.013426294996726273
6930 -0.0797413052689257
7040 -0.028123782728879887
7150 -0.02524691075397489
7260 -0.06797551596421457
7370 -0.06092505203849955
7480 -0.023915568357205663
7590 -0.05536582797113378
7700 -0.054686269450261386
7810 -0.03820652646824846
7920 -0.03036236641767554
8030 -0.05289349829554784
8140 -0.07493190688379758
8250 -0.03033039085565731
8360 -0.021632165470213797
8470 -0.05803239174336066
8580 -0.08223066110420348
8690 -0.03613746686231192
8800 -0.054640040851174125
8910 -0.04885271698429752
9020 -0.039764746305870305
9130 -0.05149495433701437
9240 -0.05655289659172389
9350 -0.055225930621381175
9460 -0.021773001040383554
9570 -0.03013875796572193
9680 -0.044651195241363816
9790 -0.033404285780936696
9900 -0.04620855875377234
10010 -0.06060213927878697
10120 -0.07435125308574958
10230 -0.026282038109600534
10340 -0.07459113478735098
10450 -0.08379011756232527
10560 -0.026994151897668628
10670 -0.07262948878414528
10780 -0.05254683821361867
10890 -0.060490299392365776
11000 -0.043830956041478915
11110 -0.031029398961859567
11220 -0.062370153958318866
11330 -0.05183587129022039
11440 -0.04807620504936439
11550 -0.03571233084733732
11660 -0.060362063935471486
11770 -0.036006240217012764
11880 -0.056370857469637346
11990 -0.054783824892701095
12100 -0.0634884491528575
12210 -0.05194207764583896
12320 -0.04062926347365162
12430 -0.04280346627283903
12540 -0.05350789492058385
12650 -0.03959404549864857
12760 -0.007564217677064879
12870 -0.02681865847990178
12980 -0.042025135882896414
13090 -0.03692505171230935
13200 -0.051479797578476726
13310 -0.016799962720623392
13420 -0.012557543459734102
13530 -0.08297006382586773
13640 -0.054336310197855585
13750 -0.03439226717396782
13860 -0.01906103038718236
13970 -0.010835728971817725
14080 -0.050999948750268136
14190 -0.061682556787970196
14300 -0.03708332017081131
14410 -0.02511883698839474
