Time Avstress
0 -0.10169224379905993
110 -0.03383795824939252
220 -0.03657448793089056
330 -0.008712125341594682
440 -0.018658535516387922
550 -0.055103604189782183
660 -0.0712435127063519
770 -0.03390305453525205
880 -0.05171064951090551
990 -0.023330026123368378
1100 -0.022092865676566518
1210 -0.042845102164115065
1320 -0.03131356242545026
1430 -0.04480470075794625
1540 -0.027635718535662296
1650 -0.043201923727220454
1760 -0.03714706280228523
1870 -0.05377039382631462
1980 -0.043014495310070566
2090 -0.08848233999820762
2200 -0.05376727698000193
2310 -0.07466027818389757
2420 -0.05221915113849344
2530 -0.044264042762389245
2640 -0.06864439171524385
2750 -0.05546608005002443
2860 -0.05098062227254485
2970 -0.04983979548041088
3080 -0.06335564532471129
3190 -0.027313660022649337
3300 -0.05071263146496126
3410 -0.03776220558948415
3520 -0.06175664442339667
3630 -0.0666542065276593
3740 -0.060853199937481034
3850 -0.04255176461641364
3960 -0.02157306869873312
4070 -0.049549327457423964
4180 -0.061375937962639696
4290 -0.07232547457180957
4400 -0.027117413279007362
4510 -0.05693338235217094
4620 -0.048004974811167694
4730 -0.04928402032439911
4840 -0.05914831421937259
4950 -0.05257862600516316
5060 -0.05160814500426328
5170 -0.07503096671269804
5280 -0.053290812540774335
5390 -0.06320822492897826
5500 -0.03664858887513342
5610 -0.037936192195482096
5720 -0.04216330271392248
5830 -0.058505856776237625
5940 -0.04353110567232848
6050 -0.05996506771912937
6160 -0.01630987003967464
6270 -0.06101003728068979
6380 -0.03656233085373248
6490 -0.05459262603136108
6600 -0.04401103799877122
6710 -0.04751706883032536
6820 -0.04604521204737108
6930 -0.07059451118644548
7040 -0.02953548540091612
7150 -0.02158912279067435
7260 -0.06406841621623023
7370 -0.04704636381384613
7480 -0.029259632408179977
7590 -0.03992245463691969
7700 -0.06057346426411748
7810 -0.06833730758321775
7920 -0.021477623959580763
8030 -0.05580223701531973
8140 -0.02511706544058851
8250 -0.07087126111202627
8360 -0.0304888959110018
8470 -0.0646545551010497
8580 -0.07646895500839619
8690 -0.043252739553317585
8800 -0.03298534979912117
8910 -0.07673769296089104
9020 -0.051611307737011315
9130 -0.028736250158470936
9240 -0.04411085572742525
9350 -0.07330196496959604
9460 -0.035103905190247885
9570 -0.05127757333892024
9680 -0.06824309614662374
9790 -0.045513569323878116
9900 -0.05329183878959716
10010 -0.042402593915768706
10120 -0.04555510431744358
10230 -0.05353361393529321
10340 -0.04897946924180813
10450 -0.03286466109084909
10560 -0.039809495756453185
10670 -0.0335659937833118
10780 -0.007423268520556857
10890 -0.08616084141562645
11000 -0.06739180099160767
11110 -0.04267890353726064
11220 -0.04627926680957433
11330 -0.0714508782849283
11440 -0.05773886907377315
11550 -0.052912178017519775
11660 -0.04437546297454073
11770 -0.05326163109215359
11880 -0.06612381192859021
11990 -0.032190853817995274
12100 -0.023349623451250967
12210 -0.02935598436678112
12320 -0.05697607382419898
12430 -0.04002212405601595
12540 -0.04182021191102769
12650 -0.03322474153436198
12760 -0.010146659871611416
12870 -0.061678194416657506
12980 -0.05058633765780558
13090 -0.009685803745838429
13200 -0.030829195167953
13310 -0.07016974345321228
13420 -0.03502859482521444
13530 -0.009214470541702047
13640 -0.04138745261577788
13750 -0.03307936560641397
13860 -0.041621839783742925
13970 -0.01134927201937193
14080 -0.0541225953092472
14190 -0.03240512981410011
14300 -0.034093950758838414
14410 -0.054758976199552306
14520 -0.05131167435365966
14630 -0.04197744260555748
14740 -0.009769035954329475
14850 -0.042871666008242826
14960 -0.03257357605531346
15070 -0.031032411156824043
15180 -0.03713954738785236
15290 -0.02627227552553353
15400 -0.03080876475493345
15510 -0.058040519146936725
15620 -0.025747746356894936
15730 -0.031015243377306618
15840 -0.005641320425235645
15950 -0.021185514637763792
16060 -0.05149695502174479
16170 -0.046811704891066425
16280 -0.024210448247904613
16390 -0.051897802853043504
16500 -0.045686588366632266
16610 -0.02820428576576855
16720 -0.030399872748391205
16830 -0.038994893504037745
16940 -0.0802198369599238
17050 -0.047864599269422416
17160 -0.04468198330038098
17270 -0.026406765956997976
17380 -0.017978837816006784
17490 -0.045474136399361174
17600 -0.031695854474123264
17710 -0.047837948365425834
17820 -0.023996615244823657
17930 -0.04013280922689172
18040 -0.033812812070821444
18150 -0.02831840034692837
18260 -0.023301269960817578
18370 -0.056715378123517395
18480 -0.029233517689973156
18590 -0.01621782584765159
18700 0.004084721405154819
18810 -0.035971025706837224
18920 -0.05750195167399274
19030 -0.03384076031290124
19140 -0.030790447432178337
19250 -0.037778927397309356
19360 -0.020295988628376095
19470 -0.027753299475125705
19580 -0.012299342896937307
19690 -0.013672471899657406
19800 -0.038823429341309966
19910 -0.007037117317003939
20020 -0.04394758513823592
20130 -0.015965869876754933
20240 -0.020134134876595294
20350 -0.04833201628977495
20460 -0.03084175032131607
20570 -0.03519287091291458
20680 -0.0037640508101047937
20790 0.009772879881294754
